variant,feature,group,sim_n,sim_finite,sim_missing_fraction,sim_p01,sim_p05,sim_p10,sim_p50,sim_p90,sim_p95,sim_p99,cicids_n,cicids_finite,cicids_missing_fraction,cicids_p01,cicids_p05,cicids_p10,cicids_p50,cicids_p90,cicids_p95,cicids_p99,KS_sim_vs_cicids
V2,flow.packet_count,benign,213,213.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,150000,150000,0.0,1.0,1.0,1.0,2.0,18.0,26.0,76.0,0.4285271167755127
V2,flow.packet_count,ddos,180,180.0,0.0,15.74,38.7,75.0,351.5,583.8,616.6999999999998,658.26,95144,95144,0.0,7.0,7.0,7.0,8.0,9.0,9.0,10.0,0.9942657351493835
V2,flow.duration_s,benign,213,213.0,0.0,0.0,0.0,0.0,0.0,59.38072128295899,71.24365234375,76.21318817138672,150000,150000,0.0,0.0,0.0,0.0,4.8000001697801054e-05,69.91608810424822,115.89130210876465,118.40215972900391,0.423267126083374
V2,flow.duration_s,ddos,180,180.0,0.0,1.4971412801742554,3.758980596065522,7.427127981185913,35.05549430847168,58.27986907958984,61.59941596984861,65.72996322631836,95144,95144,0.0,0.20415627092123034,1.3200935184955598,1.9680535197257996,6.515831470489502,11.496433830261228,12.041247415542601,21.9453879737854,0.8064837455749512
V2,flow.pps,benign,213,84.0,0.6056338028169014,0.03337341547012329,0.034294191747903824,0.03660343214869499,0.045687977224588394,0.07411223649978639,0.09397279582917685,0.10092701762914658,150000,122645,0.18236666666666668,0.02858550928533077,0.134877160191536,0.19091584980487825,129.5966339111328,666666.6875,2000000.0,2000000.0,0.9660809636116028
V2,flow.pps,ddos,180,179.0,0.005555555555555556,10.011770362854003,10.013267230987548,10.014469718933105,10.027970314025879,10.097891807556152,10.255560874938965,10.445394077301025,95144,95144,0.0,0.3973964369297028,0.6343387722969055,0.6843592286109924,1.2059511542320251,4.108429718017578,5.997034740447997,37.88462005615212,0.9748486280441284
V2,flow.iat_s_mean,benign,213,84.0,0.6056338028169014,19.816299438476562,20.977982616424562,24.227195739746097,37.99298095703125,54.639686584472656,58.318912506103516,59.927940368652344,150000,123434,0.17710666666666666,9.999999974752427e-07,9.999999974752427e-07,3.000000106112566e-06,0.01013166643679142,5.530282020568848,8.37507300376892,69.00001525878906,0.9693844318389893
V2,flow.iat_s_mean,ddos,180,179.0,0.005555555555555556,0.09976628422737122,0.0999102808535099,0.09993580579757691,0.10002540051937103,0.10022086799144744,0.10036004409193992,0.10048621922731399,95144,95144,0.0,0.030287369545549156,0.19013692140579225,0.2782574087381363,0.9502264261245728,1.6828241229057312,1.8302342116832733,2.828681659698485,0.9779071807861328
V2,flow.iat_s_min,benign,213,84.0,0.6056338028169014,19.816299438476562,20.973651885986328,22.56627883911133,36.39908218383789,54.639686584472656,58.318912506103516,59.927940368652344,150000,123434,0.17710666666666666,0.0,9.999999974752427e-07,9.999999974752427e-07,3.999999989900971e-06,0.012027199752628786,0.06655945032834948,69.00001525878906,0.9733136892318726
V2,flow.iat_s_min,ddos,180,179.0,0.005555555555555556,0.04046592116355896,0.04046592116355896,0.04046592116355896,0.04340352118015289,0.04557567834854126,0.05316454544663429,0.058282825127243996,95144,95144,0.0,0.0,0.0,9.999999974752427e-07,3.000000106112566e-06,0.00011999999696854502,0.00021899999410379678,0.00036757000489159663,1.0
